Murder and nonnegligent Manslaughter,Legacy rape /1,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,New Y
2,4,14,99,249,131,65,53,0
0,2,10,24,260,96,150,14,0
1,45,166,440,3199,623,1860,716,0
1,9,110,182,2533,362,1842,329,0
0,3,38,47,577,110,381,86,0
4,9,144,96,1867,337,1116,414,0
0,2,6,4,151,50,84,17,0
11,84,428,890,8496,1570,5374,1552,0
0,7,10,115,412,58,313,41,0
3,15,131,377,2280,515,1276,489,0
5,11,40,130,1725,613,868,244,0
0,2,58,79,1361,248,996,117,0
0,4,8,16,712,136,554,22,0
0,4,3,10,387,73,299,15,0
0,4,58,53,352,89,181,82,0
1,1,11,62,394,110,222,62,0
0,5,7,122,637,193,404,40,0
0,3,17,139,732,302,377,53,0
0,8,6,26,339,59,254,26,0
1,2,4,24,99,54,36,9,0
2,13,48,82,1068,261,605,202,0
23,25,283,385,9563,2304,6104,1155,0
7,16,125,154,1423,328,611,484,0
1,6,31,220,649,355,202,92,0
2,9,44,116,922,285,524,113,0
1,2,13,154,514,134,313,67,0
4,8,80,167,632,235,167,230,0
3,5,135,234,838,222,380,236,0
5,14,181,236,2046,499,1056,491,0
0,5,13,63,399,129,229,41,0
0,6,14,31,487,129,288,70,0
4,41,332,377,6934,1124,4889,921,0
1,7,66,49,1407,302,1012,93,0
0,2,17,147,704,198,484,22,0
1,0,29,68,670,179,418,73,0
0,9,28,119,1298,279,881,138,0
0,4,9,36,556,106,404,46,0
0,14,124,148,1742,326,985,431,0
1,8,86,202,2875,420,1902,553,0
0,8,23,33,850,149,585,116,0
6,31,33,227,1845,696,1134,15,0
0,3,5,26,234,62,149,23,0
4,8,5,67,699,300,399,0,0
0,3,31,31,1109,333,401,375,0
0,1,7,35,210,85,106,19,0
0,11,20,53,1081,188,848,45,0
0,8,20,68,928,127,745,56,0
0,2,2,22,191,45,124,22,0
0,2,11,49,611,75,519,17,0
1,4,15,87,516,223,197,96,0.051659549
0,6,11,18,321,114,171,36,-0.168935247
2,40,217,288,3414,742,1861,811,0.240772356
2,9,90,198,2629,408,1884,337,0.240772356
0,3,41,4,783,154,496,133,-0.137931529
2,11,142,73,2366,502,1334,530,-0.158935247
0,0,8,9,295,86,166,43,0.648084811
17,80,465,827,10809,1995,6945,1869,-0.079666954
0,8,6,23,361,113,225,23,0.01480576
1,23,187,473,2734,553,1365,816,0.052040363
4,13,69,162,1993,593,1162,238,-0.096598328
2,6,69,73,1472,382,947,143,-0.087070295
2,3,20,22,762,143,584,35,0.106571712
0,4,5,14,388,63,302,23,0.113989655
4,6,46,71,456,119,232,105,0.093931481
1,19,23,35,437,129,264,44,0.265138827
1,13,14,61,833,185,592,56,0.156530219
0,4,17,140,995,376,513,106,0.105206167
0,3,7,32,333,52,253,28,0.144553125
0,3,9,22,156,75,72,9,-0.02927423
5,15,73,90,1292,320,748,224,0.046026585
22,47,355,647,10775,2436,6941,1398,-0.080211842
6,19,101,174,1608,364,751,493,-0.132464659
3,5,19,150,531,230,191,110,0.459357436
3,14,57,100,876,244,479,153,-0.193397398
0,5,14,33,398,106,229,63,-0.302606133
2,12,83,148,629,118,262,249,0.14018756
4,12,107,196,924,192,390,342,-0.810394391
1,18,222,216,2497,542,1266,689,2.389615478
0,10,10,70,463,199,224,40,-0.523888518
0,4,14,28,506,139,309,58,-0.006371144
7,28,407,287,9542,1514,6687,1341,-0.133240802
1,2,80,50,1200,316,822,62,-0.368496375
1,7,14,118,709,206,460,43,-0.221435247
1,1,29,107,919,232,566,121,0.286001462
0,4,41,27,1460,260,1058,142,0.138148987
0,7,14,61,964,177,673,114,-0.303776453
4,20,90,122,2135,441,1233,461,-0.077051189
1,10,100,162,2943,501,1851,591,-0.028157709
2,5,24,50,929,139,694,96,-0.177436776
0,5,6,56,581,236,320,25,0.051064753
0,3,7,33,305,90,186,29,-0.242625086
2,10,6,164,725,295,424,6,0.083064753
1,3,35,31,1040,302,398,340,-0.070403137
1,1,4,38,324,99,197,28,-0.497911625
1,12,27,82,969,152,749,68,-0.124319862
0,19,20,40,1097,208,783,106,-0.167288758
0,0,0,12,144,33,95,16,-0.152865883
0,12,17,38,917,102,787,28,-0.45476858
6,8,11,56,523,231,202,90,0.547453515
1,4,6,32,345,102,210,33,0.080303577
5,29,174,253,3351,731,1673,947,0.372525799
1,12,89,240,2231,376,1522,333,0.372525799
1,3,29,9,718,130,446,142,-0.363327154
2,17,115,117,2403,474,1427,502,-0.013029756
0,7,10,10,326,73,202,51,1.331296891
10,102,493,925,10249,1912,6388,1949,0.23160439
1,4,5,59,514,166,304,44,0.468049381
6,31,175,315,3106,715,1346,1045,0.048677561
3,17,64,144,2019,542,1143,334,-0.070287984
4,4,56,69,1571,388,1044,139,0.048481498
1,4,15,28,805,180,570,55,0.145996089
1,5,5,20,412,79,310,23,0.372306212
1,2,43,66,367,103,177,87,0.36637555
1,0,10,29,617,128,439,50,-0.099696423
0,11,7,92,696,150,502,44,0.431084358
1,5,14,146,1036,226,657,153,0.337172264
0,2,3,44,407,84,265,58,0.18615629
1,2,6,28,217,84,124,9,-0.327097553
3,11,90,104,1496,294,947,255,0.622313755
23,56,527,1342,15075,3023,9807,2245,-0.034093586
3,14,99,195,1908,416,868,624,0.16991142
2,11,24,74,772,306,347,119,0.451116585
0,11,54,199,1074,298,548,228,-0.396177167
1,3,9,41,443,82,280,81,-0.670371528
2,18,52,83,473,148,154,171,-0.665485897
2,14,90,141,782,130,287,365,-0.67330213
3,22,218,238,2666,550,1317,799,0.056100679
0,2,13,4,573,90,413,70,-0.333497046
1,4,10,52,480,150,246,84,0.060559987
4,17,355,181,8611,1382,6101,1128,-0.205251978
0,12,82,43,1143,317,765,61,0.00349062
2,10,23,184,903,236,610,57,-0.495529756
3,1,18,126,1142,340,660,142,0.3422867
0,6,48,35,1633,261,1201,171,0.502715384
4,9,16,58,1130,191,779,160,-0.675452777
3,15,106,193,2146,414,1194,538,0.128564447
4,14,82,162,2845,510,1870,465,0.088028559
0,5,23,36,1003,164,716,123,-0.402448716
2,12,21,121,1955,867,1058,30,0.236970244
0,1,13,13,317,95,203,19,-1.489446868
3,9,9,83,748,294,449,5,0.236970244
1,5,31,25,1119,369,334,416,-0.050002233
0,0,4,15,322,104,192,26,-0.659407709
0,5,21,74,1130,279,743,108,0.066970244
1,7,19,39,1253,247,901,105,-0.384603606
0,4,0,22,177,40,112,25,0.079976024
0,7,17,46,987,130,823,34,-0.377474201
2,14,35,85,692,238,305,149,1.613160873
0,3,7,31,338,86,229,23,-0.224509511
3,25,280,237,3152,635,1510,1007,0.2491747
2,7,81,131,1912,323,1297,292,0.2491747
0,4,40,10,796,134,539,123,-0.5504079
1,19,158,119,2472,443,1572,457,-0.082842844
0,3,11,14,270,76,155,39,1.384850566
10,107,584,823,8817,1886,5277,1654,0.222644961
0,3,6,26,441,110,298,33,0.607624782
10,35,285,327,2844,840,1124,880,0.012888863
2,17,74,154,2103,652,1077,374,0.778864271
1,5,73,78,1783,409,1208,166,-0.191283359
0,4,17,34,699,182,474,43,0.245338071
1,4,7,36,375,67,295,13,0.199074152
2,5,42,46,276,65,160,51,0.101504518
1,3,27,37,667,166,424,77,0.868083082
0,2,13,57,661,130,496,35,0.457172171
1,4,25,66,1022,305,607,110,1.270439984
1,5,3,56,433,105,267,61,0.136924598
0,2,2,49,138,50,76,12,-0.201910641
1,10,43,131,1468,292,923,253,0.713149522
24,43,549,959,15915,3729,9623,2563,0.580455028
6,11,123,183,2046,363,882,801,0.500980685
4,9,39,151,876,305,443,128,1.332401058
2,18,80,190,1022,374,418,230,0.039766718
1,7,14,69,689,157,406,126,-0.671133983
3,10,64,85,439,126,117,196,-1.090474423
6,15,77,183,804,182,243,379,-1.31757047
5,16,236,217,2219,476,1060,683,-0.644799366
0,2,5,0,563,87,432,44,-0.969057797
0,7,12,47,496,116,308,72,0.270875105
4,22,414,206,7323,1152,5096,1075,-0.666176177
0,7,82,46,1057,273,729,55,-0.702043471
0,4,16,107,707,249,412,46,-0.220342844
0,4,25,32,1244,386,680,178,0.568739435
0,9,31,37,1456,225,1088,143,0.362243549
3,8,33,79,1191,208,868,115,-1.548170105
1,19,114,140,1960,410,1091,459,0.123316576
1,10,75,166,2721,567,1683,471,0.044748949
0,6,32,37,891,153,636,102,-0.722980459
6,18,22,108,1699,727,950,22,0.042157156
0,1,3,20,322,80,215,27,-0.46158616
1,10,10,24,740,334,400,6,0.162157156
1,1,42,73,1350,364,566,420,0.134817707
2,1,6,34,302,120,160,22,-1.077527883
2,10,28,74,1119,231,789,99,-0.175150536
0,7,24,46,1238,243,829,166,-0.91135374
0,2,2,14,165,34,91,40,-0.056397757
0,3,9,49,934,122,770,42,-0.787009511
2,9,30,144,822,348,361,113,0.986985628
0,2,9,32,376,96,257,23,-0.346707061
5,24,287,412,2829,626,1386,817,0.626216915
2,9,107,92,1875,325,1278,272,0.626216915
0,3,30,17,650,88,435,127,-0.035319205
1,8,156,111,2082,447,1270,365,0.139959605
0,2,19,32,517,137,331,49,0.94182207
11,83,573,645,8331,1604,5633,1094,-0.022235517
0,14,10,66,563,162,377,24,0.854707807
8,29,398,440,2850,923,1241,686,-0.456381858
3,17,79,239,1791,570,1015,206,0.387029976
2,4,62,60,1550,343,1084,123,-0.023545218
0,1,13,29,565,164,368,33,0.163717061
0,8,6,15,375,81,266,28,-0.273281501
3,2,27,37,327,97,154,76,0.455406388
1,6,23,94,757,278,360,119,1.549218865
1,13,15,52,544,156,354,34,0.126295942
2,7,24,123,1141,296,720,125,0.26470708
0,5,8,34,363,58,263,42,-0.175156674
0,2,8,67,168,71,81,16,-0.17614209
2,7,68,131,1304,250,823,231,0.84339472
25,48,708,1296,16160,4168,9476,2516,0.289959605
8,9,106,144,1759,356,812,591,0.363489017
0,6,24,136,742,293,356,93,0.594837654
5,11,116,207,1333,495,573,265,0.451314187
1,7,16,48,811,173,554,84,-0.032825205
3,13,71,98,648,162,307,179,-1.160917588
4,11,115,125,885,169,304,412,-1.188639617
7,11,228,261,2182,432,1085,665,-0.268011409
0,3,7,15,489,75,370,44,-0.595087124
1,6,14,25,512,179,264,69,-0.525937831
8,25,496,123,6837,1095,4790,952,-0.26559595
2,11,61,52,1071,296,733,42,-0.05580842
1,2,10,49,587,188,368,31,-0.147540395
3,4,18,50,1063,473,478,112,1.090592517
0,7,34,42,1428,167,1156,105,-0.13660627
0,6,47,75,1162,187,874,101,-1.199077957
2,12,106,142,2139,418,1206,515,-0.156900298
2,17,86,130,2941,589,1834,518,0.05777818
0,4,25,39,854,134,626,94,-0.403083208
1,22,25,97,1373,509,850,14,0.181959605
0,2,6,11,370,67,271,32,-0.402553764
0,6,14,63,650,290,351,9,-0.490040395
3,0,39,50,1408,469,500,439,-0.086187184
0,8,19,48,415,192,181,42,-0.241536458
2,9,25,41,1038,220,756,62,-0.267732702
0,7,32,49,1377,208,1035,134,-0.527231678
0,0,0,6,167,28,110,29,-0.464375655
0,5,18,76,609,70,525,14,-0.871151506
4,9,39,190,726,359,273,94,-0.293492394
0,2,1,15,240,59,173,8,0.101550977
8,18,235,437,2212,622,1041,549,-0.280905163
1,15,74,83,1964,389,1360,215,-0.280905163
0,5,24,8,582,95,392,95,0.45000203
3,8,82,92,2075,345,1460,270,0.493217644
0,2,20,16,515,100,375,40,0.545868074
7,88,492,574,8473,1594,5869,1010,0.114559107
0,5,10,62,510,90,394,26,0.138001816
13,32,313,506,3096,1087,1049,960,-0.573245771
2,22,58,106,1889,592,1107,190,-0.130264155
1,5,36,46,1737,364,1267,106,0.651175843
0,6,14,20,648,172,444,32,0.527263369
0,3,5,17,317,76,224,17,0.087585233
0,3,33,28,265,81,140,44,-0.289909834
0,1,19,167,500,186,232,82,0.868217644
0,10,8,61,620,152,435,33,0.079929355
4,6,23,81,1128,322,700,106,-0.424711649
0,7,14,38,291,60,189,42,0.025194388
2,2,8,45,143,63,66,14,0.317370186
2,11,63,150,1136,276,731,129,0.391118407
33,34,641,1396,15197,4235,8507,2455,-0.153058952
2,8,102,141,1752,306,940,506,0.085129408
3,7,32,113,546,278,205,63,-0.208001869
6,8,45,131,777,263,371,143,-0.181583153
0,6,16,65,781,173,543,65,0.365369542
1,12,90,138,601,176,285,140,-0.403712181
5,5,112,88,940,150,391,399,-0.602842668
1,24,176,214,1776,413,906,457,0.397203151
0,0,8,18,367,69,268,30,-0.020567403
1,7,15,27,471,136,268,67,-0.138449023
5,23,365,140,5943,1088,4240,615,0.020995421
3,4,35,33,985,263,677,45,0.360694133
0,3,13,61,605,256,332,17,-0.250532356
0,5,10,38,1102,354,622,126,-0.049503875
1,3,28,39,1471,197,1200,74,0.54964313
0,6,41,65,1117,214,796,107,-0.617273248
0,13,82,146,2007,355,1270,382,0.228121025
0,13,98,110,2687,478,1933,276,0.309902309
0,5,20,34,702,108,520,74,-0.064504069
4,18,24,87,1296,564,721,11,0.408217644
0,1,3,9,321,83,220,18,0.208859355
1,10,12,59,654,282,361,11,-0.671782356
0,5,34,38,1429,518,584,327,-0.347378687
3,4,2,47,475,184,257,34,-0.77351464
0,3,12,39,972,167,763,42,-0.151013126
0,10,32,41,1451,319,1017,115,-0.238319887
0,0,3,7,223,45,146,32,-0.475712992
0,3,11,99,708,78,608,22,-0.104004579
1,18,45,135,924,397,380,147,-0.278134665
0,2,1,9,236,62,158,16,0.185867813
5,23,206,417,2662,730,1182,750,-0.15243628
1,9,80,70,1892,296,1301,295,-0.15243628
0,2,26,7,537,116,346,75,0.008110688
0,2,66,81,1919,325,1339,255,0.46753448
0,8,26,30,616,119,448,49,0.261846801
15,82,440,742,10070,1605,7025,1440,0.097656431
0,6,11,70,606,144,368,94,0.013325847
10,29,372,657,4757,1741,1920,1096,-0.570636252
3,7,65,146,1874,694,977,203,-0.207272102
0,1,22,34,1388,339,975,74,0.971987856
0,2,20,32,754,165,515,74,0.510486766
0,1,1,58,358,123,210,25,0.142850686
1,1,27,31,262,70,164,28,0.317112095
3,5,14,143,671,267,317,87,0.354386332
0,21,10,161,658,160,451,47,0.034066012
2,8,32,138,1400,440,773,187,-0.340899863
0,5,8,31,249,61,156,32,-0.043977148
1,4,5,43,132,54,66,12,0.032195497
1,6,41,172,1204,306,737,161,0.506351274
34,57,697,1141,17754,4994,9540,3220,-0.125125094
2,5,73,181,1585,335,861,389,0.197387421
2,5,26,115,708,382,251,75,-0.095026496
0,17,45,145,843,265,394,184,-0.142883847
0,7,16,80,1342,192,1061,89,-0.155693368
1,9,95,120,662,177,394,91,-0.385184818
3,2,67,53,728,111,308,309,-0.46388089
6,11,135,152,1802,417,886,499,0.192389553
0,4,5,15,408,92,270,46,0.016553172
0,3,14,20,390,156,180,54,-0.389773212
5,39,335,108,5696,971,4084,641,0.110867813
1,7,35,46,1081,258,790,33,0.605982756
1,3,16,53,759,265,491,3,-0.41621552
0,5,16,38,1176,395,709,72,-0.105060457
0,2,23,49,1292,191,1052,49,0.878344415
1,4,42,52,1185,240,835,110,-0.480215802
1,13,77,115,2066,342,1415,309,0.072582789
2,24,111,106,2493,383,1911,199,0.381584156
0,5,8,48,707,133,518,56,0.184491667
8,8,16,94,1165,481,676,8,0.26253448
1,5,3,4,238,62,165,11,0.213764427
0,17,6,64,973,348,618,7,-0.56546552
1,2,37,68,1538,499,680,359,-0.300217814
3,3,10,74,517,260,234,23,-0.501402528
0,5,21,35,955,139,767,49,-0.189773212
0,18,32,40,1649,371,1103,175,-0.147586585
0,0,0,11,209,53,129,27,-0.445442399
0,2,15,30,541,47,474,20,-0.365521076
3,0,37,131,790,422,257,111,-0.269028558
0,5,3,9,234,66,156,12,-0.185292499
2,0,182,378,2111,540,887,684,-0.269941622
1,9,62,73,1723,236,1154,333,-0.269941622
0,3,24,4,478,105,319,54,-0.20211406
1,19,83,65,1743,316,1203,224,0.139707501
0,2,16,37,568,98,439,31,0.053890882
14,79,418,590,8196,1301,5620,1275,-1.739560792
1,10,11,74,617,100,440,77,1.906254264
9,0,320,466,4190,1317,1850,1023,-1.629804694
2,0,53,139,1654,573,866,215,7.371820526
1,0,24,28,1159,276,839,44,-1.638588319
0,13,19,46,702,144,499,59,1.645373505
0,1,7,44,356,82,243,31,-0.947841906
0,1,26,22,294,86,160,48,-1.678362032
2,4,19,152,483,165,230,88,4.256374168
0,12,8,52,448,102,317,29,-1.419301508
0,9,25,148,1024,240,684,100,0.746273158
1,2,8,33,295,65,193,37,-1.94517622
0,0,7,11,154,53,79,22,3.555809196
0,0,30,123,1065,270,665,130,-0.868307766
17,21,660,980,14595,4065,8247,2283,0.866303246
2,7,56,154,1342,317,709,316,-1.241174852
1,23,16,88,619,248,243,128,-1.29443884
1,11,52,153,781,328,307,146,3.772974433
0,8,19,44,974,171,707,96,-0.195102626
1,19,73,124,718,156,418,144,-1.287485481
2,7,41,58,710,107,333,270,-1.370652421
2,8,97,186,1623,411,829,383,-0.282756267
0,9,9,18,372,75,266,31,-0.440199041
0,4,8,14,484,145,283,56,-0.625677114
3,0,263,130,5102,932,3615,555,-0.299181388
0,7,45,59,1071,251,774,46,0.092854836
3,4,29,52,748,189,537,22,-1.000917499
2,7,10,50,1020,223,729,68,-0.372317815
0,5,22,26,1124,171,897,56,0.386683743
0,0,49,45,1250,177,954,119,-1.390221566
1,13,65,138,2030,341,1411,278,-0.023819069
1,14,55,80,2426,296,1948,182,0.440368408
0,4,12,31,750,240,445,65,0.26554848
9,3,16,54,1119,581,525,13,-1.004964499
0,2,6,11,252,81,156,15,0.552034774
0,12,9,85,833,275,555,3,-0.698292499
0,7,30,59,1630,393,918,319,-0.411916352
1,8,5,65,481,249,210,22,-0.961473601
0,0,21,37,965,154,755,56,-0.205807884
1,0,21,45,1388,313,873,202,0.950482319
0,0,3,10,128,18,91,19,-0.503356083
0,2,7,21,627,25,574,28,-0.329736943
